session_id,user_id,session_date,duration_minutes,device_type
7,1,2024-01-12,31.0,Unknown
9,1,2024-02-16,10.0,Android
8,1,2024-04-18,21.0,Web
6,1,2024-05-12,43.0,Ios
3,1,2024-05-20,14.0,Android
4,1,2024-09-14,8.0,Smart Tv
5,1,2024-10-06,30.0,Android
2,1,2024-10-07,21.0,Web
1,1,2025-02-25,24.0,Android
11,2,2024-06-22,10.0,Android
10,2,2024-08-21,12.0,Ios
13,3,2024-01-01,16.0,Web
15,3,2024-01-18,35.0,Ios
14,3,2024-01-24,66.0,Android
17,3,2024-08-06,13.0,Smart Tv
16,3,2025-01-28,39.0,Web
12,3,2025-02-14,15.0,Ios
26,4,2024-01-06,23.0,Android
22,4,2024-08-22,28.0,Android
25,4,2024-09-16,16.0,Web
18,4,2024-10-10,18.0,Ios
27,4,2024-10-30,7.0,Android
23,4,2024-11-01,19.0,Android
19,4,2024-11-27,35.0,Web
24,4,2025-01-08,15.0,Android
21,4,2025-02-06,39.0,Android
20,4,2025-03-15,8.0,Ios
42,5,2024-02-27,18.0,Android
39,5,2024-03-09,23.0,Ios
32,5,2024-04-02,46.0,Android
29,5,2024-06-11,23.0,Android
37,5,2024-07-15,36.0,Ios
33,5,2024-07-28,41.0,Android
43,5,2024-08-02,43.0,Ios
30,5,2024-08-14,32.0,Ios
34,5,2024-10-08,20.0,Smart Tv
35,5,2024-10-14,15.0,Android
38,5,2024-11-13,19.0,Ios
31,5,2025-01-03,66.0,Android
40,5,2025-01-06,33.0,Smart Tv
36,5,2025-02-15,16.0,Web
41,5,2025-02-19,23.0,Android
28,5,2025-03-18,42.0,Android
49,6,2024-01-31,18.0,Ios
44,6,2024-02-19,21.0,Android
47,6,2024-03-11,28.0,Android
48,6,2024-07-10,20.0,Android
53,6,2024-08-13,16.0,Ios
52,6,2024-12-27,23.0,Android
45,6,2025-03-02,17.0,Android
46,6,2025-03-14,16.0,Ios
51,6,2025-03-25,12.0,Web
50,6,2025-03-30,7.0,Android
54,7,2024-01-22,8.0,Ios
56,7,2024-01-28,66.0,Ios
55,7,2024-04-23,66.0,Android
62,8,2024-02-01,23.0,Android
61,8,2024-03-01,15.0,Web
63,8,2024-08-12,16.0,Android
60,8,2024-10-24,36.0,Ios
57,8,2024-11-28,32.0,Android
64,8,2025-01-29,31.0,Android
59,8,2025-02-08,32.0,Android
58,8,2025-03-31,25.0,Ios
67,9,2024-01-05,57.0,Web
65,9,2024-01-17,26.0,Android
71,9,2024-04-24,45.0,Smart Tv
73,9,2024-04-27,30.0,Ios
70,9,2024-04-28,41.0,Android
69,9,2024-05-11,30.0,Ios
68,9,2024-05-31,31.0,Ios
66,9,2024-09-12,47.0,Web
72,9,2025-03-27,27.0,Android
76,10,2024-01-09,24.0,Ios
79,10,2024-02-06,66.0,Android
84,10,2024-03-19,24.0,Android
85,10,2024-04-08,23.0,Web
87,10,2024-06-04,13.0,Android
83,10,2024-07-01,29.0,Ios
80,10,2024-09-07,8.0,Android
81,10,2024-09-15,60.0,Unknown
78,10,2024-10-08,14.0,Android
86,10,2024-10-13,34.0,Android
90,10,2024-10-21,22.0,Android
74,10,2024-11-20,25.0,Android
82,10,2024-11-27,22.0,Android
89,10,2024-11-28,13.0,Web
88,10,2025-01-20,17.0,Android
77,10,2025-03-14,14.0,Web
75,10,2025-03-27,42.0,Android
102,11,2024-01-23,38.0,Ios
99,11,2024-02-13,13.0,Android
100,11,2024-03-03,19.0,Ios
98,11,2024-04-07,26.0,Android
107,11,2024-05-01,30.0,Ios
105,11,2024-05-13,36.0,Android
95,11,2024-05-29,35.0,Ios
103,11,2024-06-15,19.0,Web
92,11,2024-07-31,5.0,Android
108,11,2024-08-21,66.0,Ios
93,11,2024-09-14,9.0,Android
106,11,2024-09-20,66.0,Ios
91,11,2024-10-11,42.0,Smart Tv
96,11,2024-10-20,12.0,Ios
97,11,2024-10-26,61.0,Android
94,11,2024-11-08,57.0,Ios
104,11,2024-12-03,10.0,Web
101,11,2025-01-14,28.0,Web
121,12,2024-01-02,24.0,Web
115,12,2024-02-01,10.0,Web
120,12,2024-03-18,17.0,Android
113,12,2024-03-22,26.0,Ios
125,12,2024-03-23,8.0,Ios
114,12,2024-06-14,34.0,Web
110,12,2024-09-17,23.0,Android
123,12,2024-09-19,24.0,Web
124,12,2024-10-21,21.0,Web
