user_id,plan_type,monthly_fee,status,churn_date
1,Premium,199,Active,
2,Basic,99,Churned,2025-06-28
3,Free,0,Churned,2024-12-19
4,Premium,199,Active,
5,Basic,99,Active,
6,Free,0,Active,
7,Basic,99,Churned,2024-04-06
8,Basic,99,Active,
9,Free,0,Active,
10,Free,0,Active,
11,Free,0,Active,
12,Family,299,Active,
13,Free,0,Active,
14,Free,0,Active,
15,Free,0,Active,
16,Premium,199,Active,
17,Free,0,Active,
18,Premium,199,Active,
19,Basic,99,Active,
20,Basic,99,Active,
21,Premium,199,Active,
22,Free,0,Active,
23,Premium,199,Active,
24,Premium,199,Active,
25,Family,299,Active,
26,Premium,199,Active,
27,Premium,199,Active,
28,Free,0,Active,
29,Free,0,Active,
30,Free,0,Active,
31,Free,0,Active,
32,Basic,99,Active,
33,Free,0,Active,
34,Free,0,Active,
35,Premium,199,Active,
36,Premium,199,Active,
37,Premium,199,Active,
38,Premium,199,Active,
39,Basic,99,Active,
40,Premium,199,Active,
41,Free,0,Active,
42,Family,299,Active,
43,Free,0,Active,
44,Premium,199,Active,
45,Basic,99,Active,
46,Basic,99,Active,
47,Basic,99,Active,
48,Premium,199,Active,
49,Premium,199,Active,
50,Free,0,Active,
51,Free,0,Active,
52,Free,0,Churned,2025-02-12
53,Free,0,Active,
54,Free,0,Active,
55,Basic,99,Active,
56,Free,0,Active,
57,Premium,199,Active,
58,Free,0,Active,
59,Basic,99,Active,
60,Free,0,Active,
61,Premium,199,Active,
62,Premium,199,Active,
63,Free,0,Active,
64,Free,0,Active,
65,Free,0,Active,
66,Premium,199,Churned,2025-01-05
67,Basic,99,Churned,2024-12-21
68,Basic,99,Active,
69,Free,0,Active,
70,Free,0,Active,
71,Free,0,Active,
72,Free,0,Active,
73,Free,0,Active,
74,Free,0,Active,
75,Basic,99,Active,
76,Free,0,Active,
77,Free,0,Active,
78,Basic,99,Churned,2025-05-10
79,Basic,99,Active,
80,Basic,99,Churned,2025-02-27
81,Free,0,Active,
82,Premium,199,Churned,2024-11-10
83,Premium,199,Active,
84,Free,0,Churned,2024-10-22
85,Free,0,Active,
86,Premium,199,Active,
87,Premium,199,Active,
88,Free,0,Active,
89,Free,0,Active,
90,Premium,199,Active,
91,Free,0,Active,
92,Premium,199,Active,
93,Free,0,Active,
94,Premium,199,Active,
95,Free,0,Active,
96,Free,0,Active,
97,Family,299,Active,
98,Free,0,Active,
99,Free,0,Active,
