user_id,signup_date,city_tier,acquisition_channel
1,2024-04-12,Tier 1,Organic
2,2024-12-14,Tier 2,Referral
3,2024-09-27,Tier 2,Referral
4,2024-04-16,Tier 2,Organic
5,2024-03-12,Tier 3,Organic
6,2024-07-07,Tier 3,Google Ads
7,2024-01-21,Tier 3,Organic
8,2024-04-12,Tier 2,Influencer
9,2024-05-01,Tier 2,Google Ads
10,2024-08-02,Tier 1,Influencer
11,2024-11-26,Tier 3,Influencer
12,2024-03-28,Tier 2,Referral
13,2024-04-09,Tier 1,Google Ads
14,2024-12-25,Tier 2,Google Ads
15,2024-05-31,Tier 1,Google Ads
16,2024-05-10,Tier 2,Google Ads
17,2024-05-29,Tier 2,Influencer
18,2024-11-04,Tier 2,Google Ads
19,2024-09-14,Tier 3,Influencer
20,2024-12-09,Tier 1,Organic
21,2024-10-20,Tier 2,Organic
22,2024-07-10,Tier 2,Influencer
23,2024-10-03,Tier 2,Referral
24,2024-06-09,Tier 3,Google Ads
25,2024-11-09,Tier 2,Google Ads
26,2024-01-22,Tier 2,Organic
27,2024-09-09,Tier 1,Referral
28,2024-08-23,Tier 3,Organic
29,2024-12-10,Tier 2,Referral
30,2024-02-18,Tier 2,Referral
31,2024-02-28,Tier 1,Influencer
32,2024-06-18,Tier 1,Google Ads
33,2024-07-06,Tier 2,Organic
34,2024-09-27,Tier 3,Referral
35,2024-07-08,Tier 2,Organic
36,2024-06-23,Tier 3,Organic
37,2024-02-20,Tier 2,Organic
38,2024-12-29,Tier 2,Google Ads
39,2024-02-24,Tier 1,Organic
40,2024-08-31,Tier 3,Google Ads
41,2024-11-15,Tier 1,Influencer
42,2024-05-10,Tier 3,Referral
43,2024-11-02,Tier 3,Organic
44,2024-05-14,Tier 3,Organic
45,2024-01-21,Tier 2,Referral
46,2024-11-24,Tier 2,Influencer
47,2024-06-15,Tier 3,Organic
48,2024-09-30,Tier 1,Influencer
49,2024-03-29,Tier 2,Referral
50,2024-11-11,Tier 1,Google Ads
51,2024-01-14,Tier 2,Influencer
52,2024-08-29,Tier 1,Referral
53,2024-09-21,Tier 1,Influencer
54,2024-12-11,Tier 2,Google Ads
55,2024-02-22,Tier 2,Referral
56,2024-12-05,Tier 2,Referral
57,2024-04-01,Tier 1,Google Ads
58,2024-09-20,Tier 2,Referral
59,2024-02-04,Tier 1,Organic
60,2024-07-24,Tier 2,Organic
61,2024-03-21,Tier 2,Google Ads
62,2024-02-19,Tier 2,Referral
63,2024-12-25,Tier 2,Influencer
64,2024-01-02,Tier 1,Google Ads
65,2024-02-23,Tier 3,Referral
66,2024-04-15,Tier 2,Organic
67,2024-09-16,Tier 2,Influencer
68,2024-11-05,Tier 2,Referral
69,2024-07-09,Tier 1,Influencer
70,2024-08-05,Tier 2,Influencer
71,2024-02-13,Tier 2,Organic
72,2024-06-10,Tier 1,Google Ads
73,2024-07-20,Tier 1,Influencer
74,2024-09-26,Tier 1,Organic
75,2024-12-16,Tier 3,Referral
76,2024-10-30,Tier 2,Influencer
77,2024-09-27,Tier 1,Google Ads
78,2024-08-02,Tier 2,Influencer
79,2024-09-08,Tier 2,Influencer
80,2024-07-08,Tier 3,Referral
81,2024-10-22,Tier 1,Organic
82,2024-07-31,Tier 1,Google Ads
83,2024-07-26,Tier 3,Organic
84,2024-08-24,Tier 1,Influencer
85,2024-12-03,Tier 1,Influencer
86,2024-02-22,Tier 3,Referral
87,2024-10-06,Tier 2,Google Ads
88,2024-08-04,Tier 1,Organic
89,2024-09-08,Tier 1,Influencer
90,2024-07-06,Tier 1,Referral
91,2024-02-10,Tier 1,Influencer
92,2024-06-05,Tier 3,Referral
93,2024-01-15,Tier 2,Influencer
94,2024-10-27,Tier 2,Referral
95,2024-03-05,Tier 3,Referral
96,2024-12-10,Tier 2,Google Ads
97,2024-11-22,Tier 1,Influencer
98,2024-01-09,Tier 2,Referral
99,2024-12-09,Tier 3,Google Ads
100,2024-05-08,Tier 3,Organic
101,2024-05-15,Tier 1,Organic
102,2024-03-03,Tier 2,Google Ads
103,2024-05-18,Tier 2,Organic
104,2024-03-21,Tier 3,Organic
105,2024-06-11,Tier 1,Google Ads
106,2024-10-15,Tier 2,Organic
107,2024-09-17,Tier 3,Influencer
108,2024-08-18,Tier 2,Google Ads
109,2024-02-10,Tier 2,Referral
110,2024-01-28,Tier 1,Organic
111,2024-05-14,Tier 1,Google Ads
112,2024-07-19,Tier 1,Google Ads
113,2024-11-23,Tier 3,Influencer
114,2024-09-24,Tier 1,Influencer
115,2024-02-02,Tier 2,Organic
116,2024-02-17,Tier 2,Referral
117,2024-03-02,Tier 1,Organic
118,2024-08-03,Tier 2,Influencer
119,2024-10-19,Tier 2,Influencer
120,2024-04-08,Tier 3,Referral
121,2024-06-20,Tier 2,Referral
122,2024-12-25,Tier 2,Influencer
123,2024-08-01,Tier 1,Referral
124,2024-02-04,Tier 3,Referral
125,2024-08-14,Tier 1,Influencer
126,2024-04-10,Tier 3,Referral
127,2024-05-10,Tier 1,Referral
128,2024-09-13,Tier 3,Influencer
129,2024-01-05,Tier 2,Referral
130,2024-08-05,Tier 3,Referral
131,2024-09-11,Tier 1,Organic
132,2024-12-24,Tier 2,Google Ads
133,2024-10-09,Tier 2,Organic
134,2024-07-25,Tier 3,Google Ads
135,2024-01-15,Tier 1,Google Ads
136,2024-12-11,Tier 3,Influencer
